Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,111,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,09/11/2021,
00,,111,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,09/11/2021,
00,,Test2,5242,REG,M/s. Doverfield Exports (Middle East) F.Z.C.,admin,In-Process,0.00,USD,09/11/2021,
00,,123,522K,REG,Saud Bahwan Projects and Equipment LLC,admin,In-Process,0.00,USD,05/11/2021,
00,,321,522K,REG,Saud Bahwan Projects and Equipment LLC,admin,In-Process,0.53,USD,05/11/2021,
00,,JBL-KME-SO-0610-4769,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,1807.38,USD,06/10/2021,
00,,JBL-KME-SO-0610-4768,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,260.36,USD,06/10/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,06/10/2021,
00,,M1A2780,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,969.53,USD,06/10/2021,
00,,PO2001001519,555J,ALJABA,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,05/10/2021,
00,,KME07-2021,530F,REG,Ragab Motors Co.,sgebeily,In-Process,0.00,USD,05/10/2021,
00,,M1AXXXX,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/10/2021,
00,,KME/2021465/EMS ,575N,REG,THE NEAR EAST EQUIPMENT COMPANY,TONY,In-Process,219.22,USD,04/10/2021,
